target_bundle,scope_type,scope,method,records,scored_tokens,correct_tokens,token_accuracy,exact_records,exact_record_rate,tie_positions,projected_correct_tokens,a1_correct_tokens,token_delta,projected_accuracy,a1_accuracy,gain_tokens,regression_tokens,both_correct_tokens,both_wrong_tokens,equal_tokens
paired_1,position,127,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,128,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,style,coding,historical_a1.cosine,8,494,410,0.8299595141700404,3,0.375,0,,,,,,,,,,
paired_1,style,creative_generation,historical_a1.cosine,8,494,458,0.9271255060728745,0,0.0,0,,,,,,,,,,
paired_1,style,question_answer,historical_a1.cosine,8,494,465,0.9412955465587044,2,0.25,0,,,,,,,,,,
paired_1,overall,overall,historical_a1_a2_anchor.cosine,4,156,156,1.0,4,1.0,0,,,,,,,,,,
paired_1,length,16,historical_a1_a2_anchor.cosine,0,0,0,0.0,0,,0,,,,,,,,,,
paired_1,length,39,historical_a1_a2_anchor.cosine,4,156,156,1.0,4,1.0,0,,,,,,,,,,
paired_1,length,64,historical_a1_a2_anchor.cosine,0,0,0,0.0,0,,0,,,,,,,,,,
paired_1,length,128,historical_a1_a2_anchor.cosine,0,0,0,0.0,0,,0,,,,,,,,,,
paired_1,position_bin,1-16,historical_a1_a2_anchor.cosine,4,64,64,1.0,,,0,,,,,,,,,,
paired_1,position_bin,17-32,historical_a1_a2_anchor.cosine,4,64,64,1.0,,,0,,,,,,,,,,
paired_1,position_bin,33-64,historical_a1_a2_anchor.cosine,4,28,28,1.0,,,0,,,,,,,,,,
paired_1,position_bin,65-96,historical_a1_a2_anchor.cosine,4,0,0,0.0,,,0,,,,,,,,,,
paired_1,position_bin,97-128,historical_a1_a2_anchor.cosine,4,0,0,0.0,,,0,,,,,,,,,,
paired_1,position,1,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,2,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,3,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,4,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,5,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,6,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,7,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,8,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,9,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,10,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,11,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,12,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,13,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,14,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,15,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,16,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,17,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,18,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,19,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,20,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,21,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,22,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,23,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,24,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,25,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,26,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
paired_1,position,27,historical_a1_a2_anchor.cosine,4,4,4,1.0,,,0,,,,,,,,,,
